A,B,C,D,E
              0.6126998368835557,              0.22539967376711154,               1.1619004893493328,                                0,                                0
              0.5362894417831935,              0.07257888356638752,                1.391131674650419,                                0,                                0
              0.5127645211484358,             0.025529042296873174,               1.4617064365546917,                                0,                                0
              0.5046212301183157,             0.009242460236632478,               1.4861363096450526,                                0,                                0
              0.5016901809265324,            0.0033803618530663577,               1.4949294572204017,                                0,                                0
              0.5006204570245569,            0.0012409140491151023,               1.4981386289263279,                                0,                                0
              0.5002280744802003,            0.0004561489604024846,               1.4993157765593985,                                0,                                0
              0.5000838797263525,           0.00016775945270679668,               1.4997483608209417,                                0,                                0
              0.5000308543549327,           0.00006170870986748374,               1.4999074369352015,                                0,                                0
              0.5000113502401079,          0.000022700480217924073,                1.499965949279676,                                0,                                0
              0.5000041754600719,          0.000008350920146565514,               1.4999874736197827,                                0,                                0
              0.5000015360578085,         0.0000030721156199960093,                1.499995391826573,                                0,                                0
                0.50000056508299,         0.0000011301659828702233,                1.499998304751029,                                0,                                0
              0.5000002078822648,         0.0000004157645332215482,               1.4999993763532042,                                0,                                0
              0.5000000764755903,        0.00000015295118395569513,               1.4999997705732293,                                0,                                0
              0.5000000281337936,        0.00000005626759064470744,               1.4999999155986201,                                0,                                0
              0.5000000103498428,       0.000000020699689067933465,               1.4999999689504722,                                0,                                0
              0.5000000038074935,       0.000000007614989947734043,               1.4999999885775213,                                0,                                0
              0.5000000014006983,       0.000000002801398233249172,               1.4999999957979093,                                0,                                0
              0.5000000005152877,      0.0000000010305768148080039,                1.499999998454142,                                0,                                0
              0.5000000001895633,      0.0000000003791280225006899,                1.499999999431315,                                0,                                0
              0.5000000000697363,      0.0000000001394734050282826,               1.4999999997907973,                                0,                                0
              0.5000000000256546,     0.00000000005130939829987078,               1.4999999999230433,                                0,                                0
              0.5000000000094379,     0.00000000001887567277437334,               1.4999999999716949,                                0,                                0
              0.5000000000034717,    0.000000000006943971952472132,               1.4999999999895919,                                0,                                0
              0.5000000000012769,   0.0000000000025545445215890645,               1.4999999999961775,                                0,                                0
              0.5000000000004691,   0.0000000000009397644111272069,                1.499999999998599,                                0,                                0
              0.5000000000001721,   0.0000000000003457200064271325,               1.4999999999994897,                                0,                                0
              0.5000000000000631,   0.0000000000001271832827768606,                1.499999999999818,                                0,                                0
              0.5000000000000231,  0.00000000000004678811499822893,               1.4999999999999385,                                0,                                0
              0.5000000000000082, 0.000000000000017212385600459517,               1.4999999999999825,                                0,                                0
              0.5000000000000033, 0.000000000000006332082796456457,                1.500000000000001,                                0,                                0
              0.5000000000000033, 0.000000000000002329443080807434,                1.500000000000001,                                0,                                0
              0.5000000000000033, 0.0000000000000008569542188801265,                1.500000000000001,                                0,                                0
              0.5000000000000033, 0.0000000000000003152558391776199,                1.500000000000001,                                0,                                0
              0.5000000000000033, 0.0000000000000001159761419524417,                1.500000000000001,                                0,                                0
              0.5000000000000033, 0.000000000000000042665238294268984,                1.500000000000001,                                0,                                0
              0.5000000000000033, 0.000000000000000015695664022460905,                1.500000000000001,                                0,                                0
              0.5000000000000033, 0.000000000000000005774112109882795,                1.500000000000001,                                0,                                0
              0.5000000000000033, 0.0000000000000000021241771364234228,                1.500000000000001,                                0,                                0
              0.5000000000000033, 0.0000000000000000007814410979622634,                1.500000000000001,                                0,                                0
              0.5000000000000033, 0.00000000000000000028747611445091066,                1.500000000000001,                                0,                                0
              0.5000000000000033, 0.00000000000000000010575655234322471,                1.500000000000001,                                0,                                0
              0.5000000000000033, 0.000000000000000000038905661379512875,                1.500000000000001,                                0,                                0
              0.5000000000000033, 0.00000000000000000001431259296790317,                1.500000000000001,                                0,                                0
              0.5000000000000033, 0.000000000000000000005265308703188949,                1.500000000000001,                                0,                                0
              0.5000000000000033, 0.000000000000000000001936998823487037,                1.500000000000001,                                0,                                0
              0.5000000000000033, 0.0000000000000000000007125820447940258,                1.500000000000001,                                0,                                0
              0.5000000000000033, 0.00000000000000000000026214428444965637,                1.500000000000001,                                0,                                0
              0.5000000000000033, 0.00000000000000000000009643749287773029,                1.500000000000001,                                0,                                0
              0.5000000000000033, 0.000000000000000000000035477370990815323,                1.500000000000001,                                0,                                0
              0.5000000000000033, 0.000000000000000000000013051395415429708,                1.500000000000001,                                0,                                0
              0.5000000000000033, 0.000000000000000000000004801340052339231,                1.500000000000001,                                0,                                0
              0.5000000000000033, 0.0000000000000000000000017663142954770325,                1.500000000000001,                                0,                                0
              0.5000000000000033, 0.0000000000000000000000006497907160078183,                1.500000000000001,                                0,                                0
              0.5000000000000033, 0.0000000000000000000000002390446455034331,                1.500000000000001,                                0,                                0
              0.5000000000000033, 0.00000000000000000000000008793961061021755,                1.500000000000001,                                0,                                0
              0.5000000000000033, 0.000000000000000000000000032351174810839314,                1.500000000000001,                                0,                                0
              0.5000000000000033, 0.000000000000000000000000011901332111651205,                1.500000000000001,                                0,                                0
              0.5000000000000033, 0.000000000000000000000000004378255406797864,                1.500000000000001,                                0,                                0
              0.5000000000000033, 0.0000000000000000000000000016106701524939802,                1.500000000000001,                                0,                                0
              0.5000000000000033, 0.000000000000000000000000000592532435660794,                1.500000000000001,                                0,                                0
              0.5000000000000033, 0.00000000000000000000000000021798050132516206,                1.500000000000001,                                0,                                0
              0.5000000000000033, 0.00000000000000000000000000008019054502050941,                1.500000000000001,                                0,                                0
              0.5000000000000033, 0.00000000000000000000000000002950045289185715,                1.500000000000001,                                0,                                0
              0.5000000000000033, 0.000000000000000000000000000010852610125072744,                1.500000000000001,                                0,                                0
              0.5000000000000033, 0.0000000000000000000000000000039924521483987616,                1.500000000000001,                                0,                                0
              0.5000000000000033, 0.0000000000000000000000000000014687410653800695,                1.500000000000001,                                0,                                0
              0.5000000000000033, 0.00000000000000000000000000000054031964240296894,                1.500000000000001,                                0,                                0
              0.5000000000000033, 0.00000000000000000000000000000019877248811785942,                1.500000000000001,                                0,                                0
              0.5000000000000033, 0.00000000000000000000000000000007312431185519954,                1.500000000000001,                                0,                                0
              0.5000000000000033, 0.00000000000000000000000000000002690093098359741,                1.500000000000001,                                0,                                0
              0.5000000000000033, 0.000000000000000000000000000000009896299458068882,                1.500000000000001,                                0,                                0
              0.5000000000000033, 0.0000000000000000000000000000000036406451146055315,                1.500000000000001,                                0,                                0
              0.5000000000000033, 0.00000000000000000000000000000000133931849037716,                1.500000000000001,                                0,                                0
              0.5000000000000033, 0.0000000000000000000000000000000004927077378319285,                1.500000000000001,                                0,                                0
              0.5000000000000033, 0.00000000000000000000000000000000018125704726968532,                1.500000000000001,                                0,                                0
              0.5000000000000033, 0.00000000000000000000000000000000006668074126356025,                1.500000000000001,                                0,                                0
              0.5000000000000033, 0.00000000000000000000000000000000002453047383499723,                1.500000000000001,                                0,                                0
              0.5000000000000033, 0.000000000000000000000000000000000009024257006847723,                1.500000000000001,                                0,                                0
              0.5000000000000033, 0.000000000000000000000000000000000003319838624945559,                1.500000000000001,                                0,                                0
              0.5000000000000033, 0.000000000000000000000000000000000001221300378226959,                1.500000000000001,                                0,                                0
              0.5000000000000033, 0.00000000000000000000000000000000000044929130068235625,                1.500000000000001,                                0,                                0
              0.5000000000000033, 0.00000000000000000000000000000000000016528503263210349,                1.500000000000001,                                0,                                0
              0.5000000000000033, 0.00000000000000000000000000000000000006080496544381091,                1.500000000000001,                                0,                                0
              0.5000000000000033, 0.000000000000000000000000000000000000022368896709797546,                1.500000000000001,                                0,                                0
              0.5000000000000033, 0.000000000000000000000000000000000000008229057221913474,                1.500000000000001,                                0,                                0
              0.5000000000000033, 0.0000000000000000000000000000000000000030273009724197173,                1.500000000000001,                                0,                                0
              0.5000000000000033, 0.0000000000000000000000000000000000000011136817900851061,                1.500000000000001,                                0,                                0
              0.5000000000000033, 0.0000000000000000000000000000000000000004097006346137453,                1.500000000000001,                                0,                                0
              0.5000000000000033, 0.00000000000000000000000000000000000000015072044052195403,                1.500000000000001,                                0,                                0
              0.5000000000000033, 0.00000000000000000000000000000000000000005544695143698897,                1.500000000000001,                                0,                                0
              0.5000000000000033, 0.000000000000000000000000000000000000000020397793511013497,                1.500000000000001,                                0,                                0
              0.5000000000000033, 0.00000000000000000000000000000000000000000750392887859263,                1.500000000000001,                                0,                                0
              0.5000000000000033, 0.0000000000000000000000000000000000000000027605411626788563,                1.500000000000001,                                0,                                0
              0.5000000000000033, 0.0000000000000000000000000000000000000000010155463403423922,                1.500000000000001,                                0,                                0
              0.5000000000000033, 0.00000000000000000000000000000000000000000037359862020025395,                1.500000000000001,                                0,                                0
              0.5000000000000033, 0.00000000000000000000000000000000000000000013743925163323952,                1.500000000000001,                                0,                                0
              0.5000000000000033, 0.00000000000000000000000000000000000000000005056107509010575,                1.500000000000001,                                0,                                0
              0.5000000000000033, 0.0000000000000000000000000000000000000000000186003800507383,                1.500000000000001,                                0,                                0
